model,task,ep,method,n,steps,span,demo,wrist,ref,exec,dup,paid
expd_framesamp,RouteStick,1112,nov∪tail_L15,512,25,0-184,0.58203125,0.6875,2/2,3/3,0.724609375,256/256
expd_framesamp,RouteStick,1112,nov∪act∪tail_L15,512,25,0-184,0.59375,0.638671875,2/2,3/3,0.740234375,171/171/170
expd_framesamp,RouteStick,1112,nov∪act∪tail_L13,512,25,0-184,0.580078125,0.533203125,2/2,3/3,0.73828125,171/171/170
expd_framesamp,RouteStick,1112,f0front∪act∪tail_L15,512,25,0-184,0.57421875,0.568359375,2/2,3/3,0.767578125,81/216/215
expd_framesamp,RouteStick,1112,f0both∪act∪tail_L15,512,25,0-184,0.662109375,0.630859375,2/2,3/3,0.68359375,154/179/179
HAMLET,SwingXtimes,760,nov,512,41,0-376,0.0,0.662109375,0/0,6/6,0.736328125,
HAMLET,SwingXtimes,760,act_L13,512,51,24-384,0.0,0.353515625,0/0,6/6,0.912109375,
HAMLET,SwingXtimes,760,tail_L13,512,51,24-384,0.0,0.783203125,0/0,6/6,0.90625,
HAMLET,SwingXtimes,760,tail_L15,512,51,32-384,0.0,0.658203125,0/0,6/6,0.896484375,
HAMLET,SwingXtimes,760,act∪tail_L15,512,51,24-384,0.0,0.521484375,0/0,6/6,0.8984375,256/256
HAMLET,SwingXtimes,760,nov∪act (deployed),512,51,0-368,0.0,0.505859375,0/0,6/6,0.759765625,256/256
HAMLET,SwingXtimes,760,nov∪tail_L15,512,51,0-376,0.0,0.630859375,0/0,6/6,0.751953125,256/256
HAMLET,SwingXtimes,760,nov∪act∪tail_L15,512,51,0-371,0.0,0.494140625,0/0,6/6,0.75390625,171/171/170
HAMLET,SwingXtimes,760,nov∪act∪tail_L13,512,51,0-376,0.0,0.556640625,0/0,6/6,0.763671875,171/171/170
HAMLET,SwingXtimes,760,f0front∪act∪tail_L15,512,51,0-376,0.0,0.42578125,0/0,6/6,0.7890625,80/216/216
HAMLET,SwingXtimes,760,f0both∪act∪tail_L15,512,51,0-368,0.0,0.490234375,0/0,6/6,0.68359375,159/177/176
HAMLET,PatternLock,26,nov,512,14,0-120,0.515625,0.607421875,2/2,1/1,0.712890625,
HAMLET,PatternLock,26,act_L13,512,17,0-128,0.541015625,0.314453125,2/2,1/1,0.86328125,
